"Steps","Calories","Active_Minutes","Floors_Climbed","Hours_Slept","Times_Awake","Day_Monday","Day_Saturday","Day_Sunday","Day_Thursday","Day_Tuesday","Day_Wednesday"
4449,2174,6,5,8.73,11,0,0,0,0,1,0
11245,2636,2,0,6.87,1,0,0,0,0,0,1
15121,2755,43,14,7.33,9,0,0,0,0,0,0
2814,2604,0,0,6.87,13,0,0,1,0,0,0
9393,2551,9,6,7.12,10,1,0,0,0,0,0
7992,2295,15,5,8.17,10,0,0,0,0,0,1
7537,2397,24,4,8,0,0,0,0,1,0,0
6765,2351,13,4,7.33,6,0,0,0,0,0,0
8629,2419,20,5,6.27,4,0,1,0,0,0,0
2316,2604,3,3,7.02,15,0,0,1,0,0,0
5273,2204,12,6,7.33,5,0,0,0,0,1,0
5403,2168,14,7,6.85,9,0,0,0,0,0,1
6322,2311,8,3,8.2,1,0,0,0,0,0,0
5650,2113,5,1,9.1,6,0,1,0,0,0,0
8905,2730,22,19,7.72,15,0,0,1,0,0,0
12412,2601,49,9,9.02,7,1,0,0,0,0,0
5939,2283,7,0,8.08,12,0,0,0,0,1,0
8109,2328,40,9,7.25,9,0,0,0,0,0,1
5073,2207,15,2,7.3,13,0,0,0,1,0,0
3907,2201,1,0,7.62,0,0,1,0,0,0,0
7756,2337,14,5,6.82,4,1,0,0,0,0,0
9124,2431,24,12,8.92,5,0,0,0,0,0,1
3817,2166,0,0,7.7,7,0,0,0,1,0,0
7224,2344,2,16,7.7,8,0,0,0,0,0,0
11894,2735,19,4,7.17,10,0,1,0,0,0,0
5465,2224,7,12,8.3,10,0,0,1,0,0,0
9152,2403,23,2,7.87,13,1,0,0,0,0,0
3740,2091,14,6,7.63,9,0,0,0,0,1,0
5631,2230,16,4,8.73,7,0,0,0,1,0,0
13242,2622,20,0,7.28,9,0,1,0,0,0,0
3751,2148,4,0,6.87,10,0,0,1,0,0,0
5164,2352,1,0,8.35,15,1,0,0,0,0,0
6706,2299,13,2,7.17,17,0,0,0,0,1,0
3613,2206,4,1,7.2,3,0,0,0,1,0,0
5108,2171,18,5,5.9,9,0,0,0,0,0,0
7476,2366,20,7,9.05,8,0,0,1,0,0,0
5392,2260,15,2,6.5,17,0,0,0,0,1,0
4401,2158,0,0,7.12,10,0,0,0,0,0,1
8001,2566,11,0,7.33,7,0,0,0,0,0,0
3516,2251,4,3,8.2,6,0,1,0,0,0,0
10095,2553,33,7,8.37,15,0,0,1,0,0,0
5033,2266,12,6,8.17,10,1,0,0,0,0,0
11710,2566,63,8,7.72,4,0,0,0,0,0,1
9849,2495,28,5,7.73,10,0,0,0,1,0,0
18225,3523,133,145,10.25,32,0,1,0,0,0,0
5814,2314,5,2,8.2,8,1,0,0,0,0,0
3498,2604,8,6,8.3,7,0,0,0,0,1,0
4141,2192,13,3,8.32,13,0,0,0,0,0,1
7834,2404,6,0,7.5,5,0,0,0,0,0,0
4276,2125,10,5,7.17,10,1,0,0,0,0,0
13884,2660,51,9,6.87,9,0,0,0,0,1,0
4010,2124,8,2,7.92,7,0,0,0,0,0,1
6765,2228,6,5,8.3,6,0,0,0,1,0,0
6018,2235,14,3,7.07,17,0,0,0,0,0,0
4246,2239,0,0,4.22,9,0,1,0,0,0,0
9554,2513,20,10,7.63,4,0,0,0,0,1,0
6556,2295,20,10,8.82,15,0,0,0,0,0,1
11491,2554,29,6,8.17,7,0,0,0,1,0,0
9899,2573,13,16,7.27,2,0,1,0,0,0,0
8739,2368,10,2,7,9,0,0,1,0,0,0
11310,2509,9,6,4.22,9,1,0,0,0,0,0
9371,2467,17,6,7.8,5,0,0,0,0,1,0
7563,2325,18,7,6.43,9,0,0,0,0,0,1
2052,1979,2,0,7.12,9,0,0,0,0,1,0
15947,2816,17,5,7,9,0,0,0,0,0,1
11490,2655,28,8,8.35,7,0,0,0,1,0,0
7872,2327,13,4,7.62,10,0,0,0,0,0,0
9007,2386,4,3,7.48,4,0,1,0,0,0,0
6973,2429,14,2,7.38,4,1,0,0,0,0,0
7068,2447,20,4,8.37,7,0,0,0,0,1,0
8105,2427,18,6,7.4,5,0,0,0,0,0,1
8400,2471,10,3,6.4,9,0,0,0,1,0,0
7125,2362,7,0,9.45,6,0,0,0,0,0,0
5307,2194,3,1,4.22,9,0,1,0,0,0,0
6041,2239,13,0,8,10,0,0,1,0,0,0
8635,2421,19,6,5.15,9,0,0,0,0,1,0
4391,2154,11,0,7.78,8,0,0,0,0,0,1
5708,2304,17,4,6.93,10,0,0,0,1,0,0
13119,2590,23,2,7.63,1,0,0,0,0,0,0
6334,2408,6,4,7.5,8,0,0,1,0,0,0
11189,2592,20,2,7.17,4,1,0,0,0,0,0
9625,2792,6,25,7.62,15,0,0,0,1,0,0
11371,2910,0,2,4.22,9,0,0,0,0,0,0
5529,2241,3,2,7.43,7,0,1,0,0,0,0
5074,2184,2,0,6.37,9,0,0,1,0,0,0
4918,2197,12,2,7.92,11,0,0,0,0,1,0
5528,2222,10,5,8.2,8,0,0,0,1,0,0
14117,2664,32,7,8.62,3,0,0,0,0,0,0
12193,2359,13,9,7.87,1,0,1,0,0,0,0
3647,2304,0,2,7,15,0,0,1,0,0,0
5224,2198,12,2,5.9,9,1,0,0,0,0,0
7835,2299,11,2,7.33,17,0,0,0,0,1,0
4595,2181,12,2,7.62,13,0,0,0,0,0,1
8527,2323,14,4,7.17,9,0,0,0,1,0,0
4071,2198,2,4,6.87,10,0,1,0,0,0,0
8003,2346,22,4,8.62,7,1,0,0,0,0,0
6258,2205,0,0,7.5,4,0,0,0,0,1,0
6213,2338,17,2,7.2,7,0,0,0,0,0,1
7804,2397,27,4,5.15,9,0,0,0,1,0,0
6743,2262,15,5,7.18,4,0,0,0,0,0,0
5739,2214,12,0,7.12,9,0,0,1,0,0,0
5619,2194,0,2,8.35,7,1,0,0,0,0,0
9791,2396,16,4,7.35,4,0,0,0,1,0,0
10446,2329,10,3,4.22,4,0,0,0,0,0,0
6529,2259,4,1,7.12,9,0,1,0,0,0,0
11988,2370,8,1,7.62,1,0,0,1,0,0,0
6517,2335,0,3,7.12,10,1,0,0,0,0,0
7024,2406,7,5,8.2,6,0,0,0,1,0,0
8445,2361,0,15,8.73,5,0,1,0,0,0,0
5715,2197,7,3,6.77,9,1,0,0,0,0,0
6430,2326,14,4,7.33,10,0,0,0,0,1,0
7776,2440,22,4,7.63,6,0,0,0,0,0,1
8532,2357,17,4,6.65,4,0,0,0,1,0,0
10479,2529,37,6,8.62,8,0,0,0,0,1,0
