Date,Steps,Calories,Distance,Active Minutes,Floors Climbed,Hours Slept,Times Awake
1/24/2014,5392,2197,2.4,6,13,8.77,10
1/25/2014,5858,2263,2.6,3,4,8.73,6
1/26/2014,3819,2255,1.7,11,0,9.12,10
1/27/2014,10178,2644,4.6,2,5,,
1/28/2014,3970,2195,1.8,1,5,8.62,16
1/29/2014,4639,2273,2.1,5,3,8.02,8
1/30/2014,6312,2233,2.8,25,5,7.75,7
1/31/2014,9383,2669,4.2,22,9,6.27,4
2/1/2014,10386,2743,4.6,12,8,7.30,7
2/2/2014,5785,2685,2.7,6,1,8.83,7
2/3/2014,3131,2614,1.4,9,8,7.52,
2/4/2014,3217,2154,1.4,5,7,9.07,
2/5/2014,3575,2142,1.6,9,11,8.03,12
2/6/2014,4247,2125,1.9,10,11,6.93,
2/7/2014,12039,2541,5.8,33,11,7.72,
2/8/2014,10218,2424,4.7,12,2,8.00,5
2/9/2014,9905,2755,4.4,40,2,7.50,7
2/10/2014,6286,2566,2.7,9,8,6.05,4
2/11/2014,3870,2185,1.7,8,9,8.68,9
2/12/2014,8878,2376,4.0,5,13,7.43,5
2/13/2014,7209,2445,3.2,4,5,7.38,8
2/14/2014,7815,2558,3.6,28,4,7.58,2
2/15/2014,11657,2791,5.2,18,5,6.85,2
2/16/2014,8273,2455,3.7,16,9,8.92,9
2/17/2014,8170,2409,3.6,7,7,6.67,10
2/18/2014,7484,2516,3.5,33,8,8.40,7
2/19/2014,4063,2184,1.8,7,5,8.18,7
2/20/2014,6272,2269,2.8,6,3,6.78,7
2/21/2014,8378,2561,3.8,21,8,7.40,6
2/22/2014,20849,3106,9.3,52,23,7.22,9
2/23/2014,8795,2670,4.0,30,7,7.18,13
2/24/2014,8158,2542,3.6,40,13,7.50,0
2/25/2014,4037,2220,1.8,5,10,7.33,1
2/26/2014,8421,2562,3.9,39,5,9.02,11
2/27/2014,6280,2456,2.8,13,10,7.50,13
2/28/2014,6727,2436,3.0,7,9,6.43,7
3/1/2014,9728,2634,4.4,25,0,7.60,6
3/2/2014,5050,2353,2.3,11,2,8.30,7
3/3/2014,7504,2572,3.5,12,4,6.37,15
3/4/2014,7490,2475,3.4,20,5,7.35,10
3/5/2014,8525,2600,3.8,48,0,8.00,14
3/6/2014,11012,2589,5.0,33,26,8.07,10
3/7/2014,11611,2744,5.3,44,12,7.33,9
3/8/2014,12385,2712,5.6,15,3,7.02,3
3/9/2014,12436,3039,5.5,47,1,7.37,7
3/10/2014,4527,2185,2.0,5,4,7.82,10
3/11/2014,9848,2524,4.7,42,17,7.97,4
3/12/2014,8265,2310,3.7,14,17,8.73,7
3/13/2014,6609,2450,3.1,33,10,6.65,9
3/14/2014,6672,2368,3.0,9,4,7.37,4
3/15/2014,16403,2774,7.6,39,14,7.70,
3/16/2014,6654,2279,3.0,0,2,8.20,
3/17/2014,10107,2575,4.6,24,1,7.35,7
3/18/2014,6683,2323,3.0,12,10,6.68,2
3/19/2014,3279,2143,1.5,5,4,6.48,4
3/20/2014,11098,2622,5.4,45,11,8.48,6
3/21/2014,10261,2402,4.7,16,7,6.83,9
3/22/2014,10417,2639,4.8,22,4,7.52,6
3/23/2014,12280,2702,5.6,27,7,8.93,9
3/24/2014,3949,2290,2.0,6,1,6.53,14
3/25/2014,7615,2336,3.6,13,12,7.28,10
3/26/2014,4537,2342,2.0,9,8,7.07,10
3/27/2014,4693,2224,2.1,9,8,,
3/28/2014,7450,2383,3.3,5,4,8.98,3
3/29/2014,4127,2204,1.8,1,1,8.08,5
3/30/2014,8087,2478,3.6,13,6,7.63,4
3/31/2014,8066,2440,3.7,10,10,7.32,10
4/1/2014,8440,2424,3.9,24,9,7.82,1
4/2/2014,5280,2201,2.4,6,9,7.82,
4/3/2014,6371,2361,2.9,12,10,8.00,13
4/4/2014,7724,2406,3.4,13,12,7.50,8
4/5/2014,7765,2593,3.6,21,7,7.63,8
4/6/2014,13179,2697,5.9,38,18,8.72,3
4/7/2014,4235,2172,1.9,8,6,6.72,10
4/8/2014,6385,2261,2.8,6,22,8.28,
4/9/2014,9498,2521,4.3,8,5,7.02,9
4/10/2014,4913,2308,2.2,12,8,7.22,7
4/11/2014,12316,2712,5.8,36,13,6.78,7
4/12/2014,11243,2550,5.2,25,6,6.05,4
4/13/2014,14403,2811,6.5,25,10,6.92,10
4/14/2014,4396,2140,2.0,9,7,7.05,13
4/15/2014,3470,2614,1.6,6,7,,
4/16/2014,4969,2192,2.2,9,9,8.05,5
4/17/2014,5887,2238,3.0,12,10,8.70,7
4/18/2014,6672,2339,3.0,12,13,,
4/19/2014,14422,2726,6.4,34,11,7.93,4
4/20/2014,5801,2237,2.4,6,20,9.20,8
4/21/2014,13230,2734,6.2,26,9,7.78,3
4/22/2014,5897,2201,3.0,5,8,6.97,
4/23/2014,11665,2654,5.0,17,12,6.42,
4/24/2014,11527,2584,5.4,41,12,,
4/25/2014,4629,2137,2.1,7,7,,
4/26/2014,7024,2346,3.1,5,5,,
4/27/2014,11064,2546,5.3,38,10,,
